22.09.14 21:57
Статистика проекта

                    	Сегменты	  Слова	Символы (без пробелов)	Символы (с пробелами)	Количество файлов	
Всего:              	  118134	1099223	               5740714	              6675727	              173	
Осталось:           	  117951	1098638	               5736518	              6671155	              173	
Уникальные:         	   84625	 974570	               5081677	              5924972	              172	
Осталось уникальных:	   84608	 974317	               5080301	              5923386	              172	


Статистика по отдельным файлам:

Имя файла               	Всего сегментов	Осталось сегментов	Уникальные сегменты	Осталось уникальных сегментов	Всего слов	Осталось слов	Уникальные слова	Осталось уникальных слов	Всего символов (без пробелов)	Осталось символов (без пробелов)	Уникальные символы (без пробелов)	Осталось уникальных символов (без пробелов)	Всего символов (включая пробелы)	Осталось символов (включая пробелы)	Уникальные символы (включая пробелы)	Осталось уникальных символов (включая пробелы)	
pods\perldebug.pod      	            570	               569	                541	                          541	      6508	         6506	            6416	                    6416	                        33055	                           33038	                            32621	                                      32621	                           38256	                              38238	                               37760	                                         37760	
pods\perldelta.pod      	           1798	              1797	                  0	                            0	     19305	        19303	               0	                       0	                        99763	                           99746	                                0	                                          0	                          115516	                             115498	                                   0	                                             0	
pods\perldgux.pod       	             61	                60	                 39	                           39	       449	          447	             368	                     368	                         2261	                            2244	                             1840	                                       1840	                            2599	                               2581	                                2118	                                          2118	
pods\perldiag.pod       	           3209	              3208	               2629	                         2629	     39411	        39409	           34956	                   34956	                       193564	                          193547	                           170783	                                     170783	                          227205	                             227187	                              200847	                                        200847	
pods\perldoc.pod        	            129	               128	                116	                          116	      1426	         1424	            1404	                    1404	                         7038	                            7021	                             6902	                                       6902	                            8088	                               8070	                                7943	                                          7943	
pods\perldos.pod        	            165	               164	                125	                          125	      1681	         1679	            1578	                    1578	                         8594	                            8577	                             8094	                                       8094	                            9935	                               9917	                                9368	                                          9368	
pods\perldsc.pod        	            545	               544	                395	                          395	      3441	         3439	            3209	                    3209	                        18538	                           18521	                            17012	                                      17012	                           21865	                              21847	                               20087	                                         20087	
pods\perldtrace.pod     	            144	               143	                113	                          113	       950	          948	             889	                     889	                         5830	                            5813	                             5445	                                       5445	                            7605	                               7587	                                7074	                                          7074	
pods\perlebcdic.pod     	            982	               981	                832	                          832	      8922	         8920	            8544	                    8544	                        42159	                           42142	                            40229	                                      40229	                           56850	                              56832	                               54692	                                         54692	
pods\perlembed.pod      	            675	               674	                510	                          510	      5109	         5107	            4853	                    4853	                        28739	                           28722	                            26567	                                      26567	                           33026	                              33008	                               30722	                                         30722	
pods\perlexperiment.pod 	            165	               164	                132	                          132	       797	          795	             688	                     688	                         4625	                            4608	                             4017	                                       4017	                            5181	                               5163	                                4504	                                          4504	
pods\perlfaq.pod        	            721	               720	                395	                          395	      3901	         3899	            3561	                    3561	                        17719	                           17702	                            15746	                                      15746	                           21121	                              21103	                               18832	                                         18832	
pods\perlfaq1.pod       	            152	               151	                131	                          131	      2294	         2292	            2251	                    2251	                        11651	                           11634	                            11434	                                      11434	                           13595	                              13577	                               13348	                                         13348	
pods\perlfaq2.pod       	            113	               112	                 89	                           89	      1522	         1520	            1376	                    1376	                         8084	                            8067	                             7369	                                       7369	                            9267	                               9249	                                8440	                                          8440	
pods\perlfaq3.pod       	            585	               584	                504	                          504	      6269	         6267	            6052	                    6052	                        32024	                           32007	                            30978	                                      30978	                           37088	                              37070	                               35893	                                         35893	
pods\perlfaq4.pod       	           1614	              1613	               1381	                         1381	     14230	        14228	           13720	                   13720	                        69825	                           69808	                            67173	                                      67173	                           82325	                              82307	                               79157	                                         79157	
pods\perlfaq5.pod       	            955	               954	                803	                          803	      8808	         8806	            8394	                    8394	                        42965	                           42948	                            40811	                                      40811	                           51221	                              51203	                               48703	                                         48703	
pods\perlfaq6.pod       	            696	               695	                534	                          534	      6054	         6052	            5717	                    5717	                        30065	                           30048	                            28096	                                      28096	                           35973	                              35955	                               33580	                                         33580	
pods\perlfaq7.pod       	            603	               602	                509	                          509	      5806	         5804	            5575	                    5575	                        29216	                           29199	                            28004	                                      28004	                           34620	                              34602	                               33213	                                         33213	
pods\perlfaq8.pod       	            797	               796	                644	                          644	      8017	         8015	            7572	                    7572	                        39744	                           39727	                            37351	                                      37351	                           46663	                              46645	                               43848	                                         43848	
pods\perlfaq9.pod       	            223	               222	                196	                          196	      2457	         2455	            2333	                    2333	                        12494	                           12477	                            11872	                                      11872	                           14430	                              14412	                               13712	                                         13712	
pods\perlfilter.pod     	            351	               350	                291	                          291	      3348	         3346	            3256	                    3256	                        16747	                           16730	                            16193	                                      16193	                           19575	                              19557	                               18948	                                         18948	
pods\perlfork.pod       	            156	               155	                130	                          130	      2030	         2028	            1997	                    1997	                        10955	                           10938	                            10775	                                      10775	                           12702	                              12684	                               12506	                                         12506	
pods\perlform.pod       	            282	               281	                216	                          216	      2325	         2323	            2262	                    2262	                        12985	                           12968	                            12383	                                      12383	                           15429	                              15411	                               14681	                                         14681	
pods\perlfreebsd.pod    	             18	                17	                 13	                           13	       261	          259	             223	                     223	                         1354	                            1337	                             1164	                                       1164	                            1559	                               1541	                                1339	                                          1339	
pods\perlfunc.pod       	           4969	              4968	               4495	                         4495	     56979	        56977	           54755	                   54755	                       285952	                          285935	                           274631	                                     274631	                          334473	                             334455	                              321398	                                        321398	
pods\perlgit.pod        	            501	               500	                422	                          422	      5307	         5305	            5034	                    5034	                        26706	                           26689	                            25140	                                      25140	                           31526	                              31508	                               29564	                                         29564	
pods\perlglossary.pod   	           1809	              1808	               1740	                         1740	     23100	        23098	           22976	                   22976	                       117372	                          117355	                           116844	                                     116844	                          134172	                             134154	                              133589	                                        133589	
pods\perlgpl.pod        	            256	               255	                235	                          235	      2229	         2227	            2132	                    2132	                        10853	                           10836	                            10403	                                      10403	                           12816	                              12798	                               12293	                                         12293	
pods\perlguts.pod       	           1606	              1605	               1485	                         1485	     18697	        18695	           18474	                   18474	                        91807	                           91790	                            90532	                                      90532	                          108050	                             108032	                              106618	                                        106618	
